STCOU,County Population,Black Population (%),White Population (%),Median Income,% Below Poverty,Blue,Red
00000,281421906,0.123153846,0.751400731,41990,0.112219715,0.483813728,0.47871699
01000,4447100,0.259928942,0.711206854,34923,0.143266173,0.415665029,0.564837554
01001,43671,0.171120423,0.806507751,42463,0.107187836,0.287192004,0.696943282
01003,140415,0.102866503,0.871459602,41283,0.098671794,0.247822238,0.723654391
01005,29038,0.463220607,0.512673049,26612,0.201356843,0.533770651,0.451895044
01007,20826,0.222030155,0.766637857,31776,0.170988188,0.381636389,0.601746233
01009,51024,0.011876764,0.950768266,36863,0.121374255,0.276915373,0.704779391
01011,11714,0.731091002,0.252518354,21400,0.243298617,0.692292007,0.29221044
01013,21399,0.408056451,0.583765597,25763,0.202953409,0.46212995,0.528899141
01015,112249,0.185391407,0.788755356,32604,0.147538063,0.405587396,0.573286386
01017,36583,0.381133313,0.608780034,30505,0.151928491,0.474564813,0.510140274
01019,23988,0.055444389,0.928297482,31436,0.154660664,0.447015212,0.530998338
01021,39593,0.106079357,0.867072462,33650,0.153613012,0.318446859,0.666975881
01023,15922,0.441339028,0.551375455,26388,0.184084914,0.502712232,0.48820179
01025,27867,0.430222127,0.559407184,28734,0.188287221,0.435174851,0.556919643
01027,14254,0.157008559,0.826154062,28940,0.140521959,0.347611763,0.632160462
01029,14123,0.037031792,0.947390781,31551,0.145153296,0.326787117,0.654556167
01031,43615,0.183721197,0.771087928,34561,0.141625588,0.338214332,0.643903071
01033,54984,0.166175615,0.81523716,33227,0.129637713,0.489643322,0.488482259
01035,14089,0.43551707,0.554049258,23683,0.22407552,0.501351108,0.486218699
01037,12202,0.341911162,0.639403376,29926,0.139403376,0.4606963,0.521567769
01039,37631,0.123515187,0.861948925,27531,0.171746698,0.326158819,0.658267832
01041,13665,0.247932675,0.73823637,27345,0.189535309,0.403336809,0.582481752
01043,77483,0.0095892,0.968096228,33441,0.127511841,0.330499577,0.648839966
01045,49129,0.203586476,0.743776588,32824,0.147794582,0.31038846,0.670188536
01047,46365,0.632632374,0.355785614,24944,0.241022323,0.593966638,0.398613518
01049,64452,0.016803202,0.925525973,31087,0.149584187,0.347843234,0.632339167
01051,65874,0.206409205,0.770212831,41233,0.113747457,0.279448832,0.704797513
01053,38440,0.307934443,0.64396462,28942,0.176847034,0.387907376,0.598198971
01055,103459,0.146831112,0.828705091,31490,0.152678839,0.443046661,0.535910339
01057,18495,0.119329549,0.869153825,30362,0.152203298,0.392418033,0.586834016
01059,31223,0.042084361,0.896806841,28341,0.166704032,0.43168513,0.551112312
01061,25764,0.106466387,0.871060394,27382,0.180523211,0.289674652,0.68919343
01063,9974,0.803388811,0.19089633,21163,0.267395228,0.797088262,0.193357598
01065,17185,0.589525749,0.398254292,26400,0.213383765,0.601733282,0.385978528
01067,16310,0.322992029,0.656652361,31049,0.161618639,0.401327178,0.584824005
01069,88787,0.245981957,0.730805185,35287,0.149188507,0.293602021,0.690956733
01071,53926,0.037440196,0.918888848,33289,0.132737455,0.506310734,0.473305037
01073,662047,0.393639726,0.580984432,37094,0.125486559,0.474457834,0.505879173
01075,15904,0.119844064,0.868712274,29396,0.156375755,0.365981515,0.616636777
01077,87966,0.098481231,0.883784644,34032,0.124059296,0.43174534,0.543859103
01079,34803,0.133551705,0.777720311,33794,0.139212137,0.516700862,0.465408289
01081,115092,0.226523129,0.740685712,32678,0.138523963,0.380880201,0.586269078
01083,65676,0.133260247,0.837885986,38984,0.120180888,0.380468816,0.600998561
01085,13473,0.733689601,0.258591257,24089,0.242559192,0.72993753,0.262373859
01087,24105,0.846421904,0.139597594,22274,0.248579133,0.867965123,0.123542068
01089,276700,0.227773762,0.720639682,45736,0.100173473,0.425342841,0.548465381
01091,22539,0.517103687,0.472824881,28060,0.202670926,0.503850958,0.488134888
01093,31214,0.036329852,0.947619658,28247,0.161433972,0.391289554,0.587784961
01095,82231,0.014678163,0.9338449,32470,0.14259829,0.370895709,0.61038265
01097,399843,0.333793514,0.630745067,34685,0.169041349,0.419621453,0.559318759
01099,24324,0.400715343,0.577495478,29802,0.185043578,0.417942129,0.575689867
01101,223510,0.485808241,0.488479263,36918,0.152480873,0.502576935,0.483355741
01103,111064,0.112412663,0.850725708,39515,0.110467838,0.376279843,0.603875261
01105,11861,0.683837788,0.308574319,20969,0.294241632,0.694660446,0.299291515
01107,20949,0.429567044,0.559453912,27065,0.197909208,0.485128806,0.504215457
01109,29605,0.365985475,0.607667624,26317,0.209626752,0.413220789,0.574544765
01111,22380,0.222386059,0.763806971,29048,0.163360143,0.390705897,0.58921581
01113,49756,0.40837286,0.5669467,28641,0.168140526,0.568257191,0.419492386
01115,64742,0.081291897,0.900312008,37513,0.127274412,0.269198838,0.710543794
01117,143293,0.074016177,0.897957332,59451,0.065718493,0.212190961,0.766981071
01119,14798,0.731652926,0.259224219,20582,0.276794161,0.725197109,0.267575558
01121,80321,0.31547167,0.670185879,31457,0.161614024,0.44257593,0.542493419
01123,41475,0.253598553,0.734755877,30941,0.153007836,0.380422076,0.603273242
01125,164875,0.293112964,0.681243366,34294,0.14445489,0.409455368,0.565641947
01127,70713,0.061714253,0.921513724,30313,0.146903681,0.453219453,0.525954526
01129,18097,0.268939603,0.649776206,31797,0.16881251,0.445760927,0.541995787
01131,13183,0.719032087,0.275051202,18813,0.297580217,0.671868904,0.324034335
01133,24843,0.003783762,0.973191644,28366,0.173247997,0.288903198,0.688237819
02000,626932,0.034751775,0.693111853,51433,0.083648625,0.276663398,0.586209553
