STCOU,County Population,Black Population (%),White Population (%),Median Income,% Below Poverty,Blue,Red
01001,54571,0.176705576,0.785307214,53081,0.098330615,0.257730214,0.736136373
01003,182265,0.093846871,0.856736071,48637,0.093874304,0.238119219,0.752594794
01005,27457,0.468915031,0.480023309,28802,0.233055323,0.489853826,0.504385211
01007,22915,0.220248745,0.7584988,38294,0.163779184,0.265964831,0.724433133
01009,57322,0.01327588,0.925787656,41520,0.13015945,0.145135369,0.840194503
01011,10914,0.702400586,0.229704966,24206,0.281656588,0.740720222,0.25687904
01013,20947,0.434191054,0.544182938,27794,0.210770039,0.431352353,0.564939747
01015,118572,0.205630334,0.749249401,37340,0.163959451,0.331708704,0.65691889
01017,34215,0.38746164,0.587812363,30621,0.184714307,0.45460016,0.539382188
01019,25989,0.046481204,0.926584324,38024,0.164069414,0.236634171,0.74889687
01021,43643,0.09692276,0.841211649,38916,0.164104209,0.206578577,0.784931122
01023,13859,0.433797532,0.557832455,31067,0.229237319,0.46060299,0.534963263
01025,25833,0.438818565,0.544652189,32729,0.206480084,0.440193524,0.555712691
01027,13932,0.148291703,0.816824577,34831,0.164226242,0.258102361,0.730898959
01029,14972,0.033262089,0.94035533,37870,0.144736842,0.17991374,0.8034504
01031,49948,0.167354048,0.747377272,43296,0.142928646,0.252335056,0.74120628
01033,54428,0.161093555,0.804530756,37111,0.126056442,0.390572797,0.593285835
01035,13228,0.464847294,0.513153916,26882,0.243649834,0.493878727,0.499783955
01037,11539,0.310425513,0.662795736,34795,0.145333218,0.408592486,0.583857631
01039,37765,0.124877532,0.847927976,32179,0.181437839,0.205232153,0.788243491
01041,13906,0.233999712,0.726089458,31849,0.1847404,0.308059132,0.686536322
01043,80406,0.010645972,0.9468572,37425,0.148110837,0.166095454,0.818467639
01045,50251,0.192613082,0.741000179,41279,0.138624107,0.272774327,0.71873706
01047,43820,0.694272022,0.291396623,27088,0.289319945,0.670727029,0.326011893
01049,71109,0.015159825,0.844998523,33919,0.178458423,0.235602748,0.747740995
01051,79303,0.200496829,0.762329294,50194,0.103035194,0.241905872,0.751187527
01053,38319,0.31890185,0.620684256,31443,0.221561105,0.353550497,0.638885103
01055,104430,0.151259217,0.802671646,38575,0.162051135,0.301696582,0.683885822
01057,17241,0.114204512,0.864799026,34262,0.198944377,0.250596959,0.739349001
01059,31704,0.038733283,0.830179157,32588,0.186664143,0.296673223,0.688275036
01061,26790,0.094774169,0.863269877,31347,0.169615528,0.183065969,0.807840782
01063,9045,0.814814815,0.174129353,26131,0.304145937,0.830914232,0.165127238
01065,15760,0.590164975,0.397588832,30124,0.280266497,0.606525444,0.389578768
01067,17302,0.285631719,0.685758872,35215,0.17662698,0.348982424,0.645814061
01069,101547,0.257772263,0.699705555,38751,0.144179542,0.292919612,0.700946448
01071,53227,0.033460462,0.908335995,35015,0.167114434,0.305355945,0.67466705
01073,658466,0.419953346,0.530271874,43312,0.134611354,0.521533699,0.470674109
01075,14564,0.112812414,0.866932161,31226,0.176050536,0.228127208,0.765936396
01077,92709,0.099850068,0.864123224,39096,0.159520651,0.349805795,0.631639723
01079,34339,0.114680101,0.775998136,36311,0.147587291,0.351771117,0.631948229
01081,140247,0.227462976,0.713070511,37836,0.142534243,0.395729406,0.593281178
01083,82782,0.125981494,0.80338721,46610,0.107245536,0.284224017,0.703347143
01085,11299,0.735463315,0.253031242,28100,0.283564917,0.748694696,0.248557296
01087,21452,0.826449748,0.154717509,26328,0.28263099,0.868805737,0.128344213
01089,334811,0.240063797,0.681817503,57327,0.105133941,0.41934218,0.568774158
01091,21027,0.517049508,0.4637371,31867,0.224092833,0.516607096,0.480864789
01093,30776,0.038471536,0.93550169,32317,0.181342605,0.210441117,0.771833266
01095,93019,0.016061235,0.875778067,37506,0.16916974,0.21220527,0.775704034
01097,412992,0.34623431,0.60206251,39828,0.179342457,0.452977555,0.540441176
01099,23068,0.416767817,0.551326513,30920,0.210464713,0.446587273,0.548791326
01101,229363,0.547067313,0.395251196,41084,0.163544251,0.593509829,0.401277412
01103,119490,0.118712863,0.798426647,40317,0.119541384,0.274919869,0.712555894
01105,10591,0.686998395,0.302521008,24351,0.298838637,0.723656438,0.27260919
01107,19746,0.415831054,0.562645599,29677,0.249772106,0.456342505,0.539783451
01109,32899,0.366394115,0.581902185,31229,0.197240038,0.421282694,0.573557865
01111,22913,0.201064898,0.765155152,33869,0.16615022,0.295069337,0.690966872
01113,52947,0.418059569,0.537310896,33537,0.219068125,0.533174729,0.460216759
01115,83593,0.085533478,0.882143242,45601,0.116576747,0.178684581,0.811106548
01117,195085,0.106271625,0.830115078,65408,0.054991414,0.227541013,0.761890052
01119,13763,0.749545884,0.241662428,22857,0.308726295,0.74985755,0.246581197
01121,82291,0.316620287,0.653036176,37260,0.17383432,0.40284762,0.588001403
01123,41616,0.26631584,0.698937908,35702,0.185169166,0.313966133,0.679198384
01125,194656,0.295963135,0.662728095,41842,0.150927791,0.41560219,0.575387774
01127,67023,0.058606747,0.912313683,36582,0.176640855,0.258969705,0.72323049
01129,17581,0.249132586,0.654570275,36946,0.177066151,0.34951567,0.644330484
01131,11670,0.725364182,0.267866324,22611,0.326906598,0.710194025,0.287650139
01133,24484,0.004696945,0.956093776,31062,0.177136089,0.175157013,0.807795833
02013,3141,0.069723018,0.210124164,50444,0.136580707,0,0
02016,5561,0.059701493,0.36036684,58174,0.072648804,0,0
02020,291826,0.055601626,0.659632795,72210,0.067293524,0,0
02050,17013,0.003820608,0.111326633,41810,0.213366249,0,0
02060,997,0,0.482447342,64418,0.074222668,0,0
02068,1826,0.005476451,0.896495071,62615,0.054764513,0,0
02070,4847,0.002269445,0.181142975,46580,0.198060656,0,0
02090,97581,0.045326447,0.770385628,64691,0.071776268,0,0
02100,2508,0.003987241,0.831738437,48644,0.093700159,0,0
02105,2150,0.00372093,0.471627907,41824,0.174418605,0,0
02110,31275,0.008920863,0.697490008,73044,0.065451639,0,0
02122,55400,0.004855596,0.845794224,57171,0.097111913,0,0
02130,13477,0.005787638,0.680863694,58492,0.083772353,0,0
02150,13592,0.006768687,0.553413773,62574,0.076074161,0,0
02164,1631,0.005518087,0.232985898,42236,0.155732679,0,0
02170,88995,0.009618518,0.848811731,70442,0.087735266,0,0
02180,9492,0.002844501,0.16350611,48174,0.199957859,0,0
02185,9430,0.009968187,0.333722163,75057,0.078791092,0,0
02188,7523,0.004918251,0.112455138,52272,0.162833976,0,0
02195,3815,0.003931848,0.71061599,51374,0.150196592,0,0
02198,5559,0.003058104,0.503507825,43210,0.150926426,0,0
02220,8881,0.005292197,0.652854408,59536,0.076230154,0,0
02230,968,0,0.914256198,63947,0,0,0
02240,7029,0.010812349,0.803955043,54749,0.126191492,0,0
02261,9636,0.004773765,0.73962225,60780,0.081984226,0,0
02270,7459,0.000134066,0.026947312,30238,0.300844617,0,0
02275,2369,0.001688476,0.725622626,48021,0,0,0
02282,662,0.003021148,0.424471299,52102,0.129909366,0,0
02290,5588,0.001789549,0.222440945,32125,0.252326414,0,0
04001,71518,0.002446936,0.232584804,28956,0.320380883,0.634325282,0.352444151
04003,131346,0.041607662,0.784835473,43786,0.149437364,0.388017206,0.594551413
04005,134421,0.012118642,0.617217548,49777,0.149522768,0.57840792,0.408251141
04007,53597,0.004347258,0.767990746,36764,0.153441424,0.353020194,0.631128823
04009,37220,0.018350349,0.720768404,40609,0.190327781,0.290413925,0.697593071
04011,8437,0.010548773,0.772075382,56855,0.106435937,0.399931342,0.587710264
04012,20489,0.006296061,0.698228318,30939,0.251940065,0.347442363,0.632024496
04013,3817117,0.049911753,0.730074818,53284,0.136544937,0.441159534,0.546863576
04015,200186,0.009401257,0.868582219,39863,0.162039303,0.326780564,0.655765106
04017,107449,0.008729723,0.492996677,34855,0.236828635,0.435167598,0.55198324
04019,980263,0.03537214,0.743423959,43243,0.156121367,0.524248401,0.463632482
04021,375770,0.045812598,0.72388163,49088,0.115363121,0.421936825,0.566545579
04023,47420,0.003774779,0.734605652,35545,0.166701814,0.652709915,0.339622642
04025,211033,0.0060038,0.893296309,40837,0.129813821,0.37019308,0.614081567
04027,195751,0.020081634,0.704369326,38251,0.206670719,0.425518744,0.563498796
05001,19019,0.245070719,0.71817656,37693,0.199326989,0.375322442,0.599742046
05003,21853,0.258088134,0.692948337,35773,0.184047957,0.34436473,0.625549641
05005,41513,0.001613952,0.969118108,33878,0.168019656,0.327260898,0.64321105
05007,221339,0.01271353,0.825959275,49226,0.103610299,0.306692256,0.6720387
05009,36903,0.001951061,0.965341571,37007,0.147413489,0.286609797,0.68340442
05011,11508,0.275721237,0.602537365,29221,0.241397289,0.415738679,0.559762435
05013,5368,0.222056632,0.745342772,34453,0.163375559,0.311682454,0.659449707
