State Postal,FIPS,County,Total,Obama,Romney
AK,0,Alaska,220596,91696,121234
AK,2000,Alaska,220596,91696,121234
AL,0,Alabama,2064699,793620,1252453
AL,1001,Autauga,23909,6354,17366
AL,1003,Baldwin,84988,18329,65772
AL,1005,Barbour,11459,5873,5539
AL,1007,Bibb,8391,2200,6131
AL,1009,Blount,23980,2961,20741
AL,1011,Bullock,5318,4058,1250
AL,1013,Butler,9483,4367,5081
AL,1015,Calhoun,46240,15500,30272
AL,1017,Chambers,14562,6853,7596
AL,1019,Cherokee,9761,2126,7494
AL,1021,Chilton,17434,3391,13910
AL,1023,Choctaw,7965,3785,4150
AL,1025,Clarke,13827,6317,7463
AL,1027,Clay,6640,1770,4802
AL,1029,Cleburne,6302,971,5269
AL,1031,Coffee,19715,4899,14638
AL,1033,Colbert,23374,9160,13931
AL,1035,Conecuh,7013,3551,3434
AL,1037,Coosa,5243,2188,3028
AL,1039,Covington,15415,3155,12148
AL,1041,Crenshaw,6411,2048,4326
AL,1043,Cullman,33178,4855,27930
AL,1045,Dale,18551,5283,13105
AL,1047,Dallas,20936,14599,6284
AL,1049,DeKalb,23842,5235,18316
AL,1051,Elmore,35440,8940,26223
AL,1053,Escambia,14832,5476,9263
AL,1055,Etowah,42490,12792,29102
AL,1057,Fayette,7912,1803,6034
AL,1059,Franklin,10859,3171,7567
AL,1061,Geneva,11318,2039,9173
AL,1063,Greene,5328,4514,799
AL,1065,Hale,8628,5401,3205
AL,1067,Henry,8700,3046,5605
AL,1069,Houston,41843,12348,29214
AL,1071,Jackson,20555,5817,14422
AL,1073,Jefferson,303424,159658,141413
AL,1075,Lamar,7159,1643,5453
AL,1077,Lauderdale,36908,12504,23902
AL,1079,Lawrence,14079,5055,8855
AL,1081,Lee,54115,21274,32062
AL,1083,Limestone,35406,9809,25263
AL,1085,Lowndes,7519,5747,1754
AL,1087,Macon,10385,9045,1322
AL,1089,Madison,154632,61802,90679
AL,1091,Marengo,11509,6154,5321
AL,1093,Marion,12104,2249,9696
AL,1095,Marshall,32455,6271,25785
AL,1097,Mobile,174189,78417,94566
AL,1099,Monroe,10680,4897,5730
AL,1101,Montgomery,101781,62993,38283
AL,1103,Morgan,49198,13401,35309
AL,1105,Perry,6065,4536,1504
AL,1107,Pickens,9599,4448,5119
AL,1109,Pike,14057,6009,7939
AL,1111,Randolph,10391,3076,7219
AL,1113,Russell,18871,10495,8276
AL,1115,St. Clair,35105,5790,29001
AL,1117,Shelby,92204,19944,71243
AL,1119,Sumter,7025,5420,1585
AL,1121,Talladega,33317,13878,19217
AL,1123,Tallapoosa,18668,6252,12303
AL,1125,Tuscaloosa,78495,32003,45703
AL,1127,Walker,28497,6551,21633
AL,1129,Washington,8761,2971,5749
AL,1131,Wilcox,6547,4867,1676
AL,1133,Winston,9712,1286,8310
AR,0,Arkansas,1062831,391953,643717
AR,5001,Arkansas,6488,2454,3892
AR,5003,Ashley,7915,2855,4866
AR,5005,Baxter,19339,5172,13688
AR,5007,Benton,77525,22144,53477
AR,5009,Boone,15363,3762,11143
AR,5011,Bradley,3634,1447,2118
AR,5013,Calhoun,2174,660,1458
AR,5015,Carroll,10172,3691,6121
AR,5017,Chicot,4361,2649,1670
AR,5019,Clark,8406,3808,4343
AR,5021,Clay,5110,1738,3225
AR,5023,Cleburne,11643,2618,8691
AR,5025,Cleveland,3266,845,2313
AR,5027,Columbia,9455,3557,5790
AR,5029,Conway,7724,3003,4511
AR,5031,Craighead,31207,10351,20044
AR,5033,Crawford,20562,4872,15125
AR,5035,Crittenden,15513,9092,6192
AR,5037,Cross,6680,2279,4268
AR,5039,Dallas,3083,1337,1664
AR,5041,Desha,4240,2353,1807
AR,5043,Drew,6626,2627,3883
AR,5045,Faulkner,41322,13559,26653
AR,5047,Franklin,6539,1725,4631
AR,5049,Fulton,4522,1452,2949
AR,5051,Garland,39241,13317,25031
AR,5053,Grant,6478,1467,4829
AR,5055,Greene,13754,3998,9066
AR,5057,Hempstead,6919,2466,4284
AR,5059,Hot Spring,11239,3824,7087
AR,5061,Howard,4419,1460,2862
AR,5063,Independence,12390,3279,8724
AR,5065,Izard,5313,1563,3571
AR,5067,Jackson,5338,2093,3065
AR,5069,Jefferson,27364,17456,9515
AR,5071,Johnson,8064,2785,5045
AR,5073,Lafayette,2928,1173,1712
AR,5075,Lawrence,5537,1786,3535
AR,5077,Lee,3424,2107,1280
AR,5079,Lincoln,3725,1424,2199
AR,5081,Little River,5051,1552,3385
AR,5083,Logan,7330,2009,5078
AR,5085,Lonoke,24083,5612,17863
AR,5087,Madison,6567,2099,4262
AR,5089,Marion,7029,2024,4771
AR,5091,Miller,15329,4518,10622
AR,5093,Mississippi,13349,6445,6599
AR,5095,Monroe,3230,1583,1585
AR,5097,Montgomery,3403,920,2368
AR,5099,Nevada,3384,1314,1996
AR,5101,Newton,3661,993,2508
AR,5103,Ouachita,10303,4626,5516
AR,5105,Perry,3937,1187,2580
AR,5107,Phillips,7900,5179,2591
AR,5109,Pike,3787,850,2847
AR,5111,Poinsett,7550,2387,4967
AR,5113,Polk,7721,1556,5950
AR,5115,Pope,20390,5108,14733
AR,5117,Prairie,3134,877,2149
AR,5119,Pulaski,159055,87055,68856
AR,5121,Randolph,5948,2040,3699
AR,5123,St. Francis,8021,4652,3287
AR,5125,Saline,47059,12868,32962
AR,5127,Scott,3637,895,2630
AR,5129,Searcy,3694,814,2699
AR,5131,Sebastian,43340,13083,29158
AR,5133,Sevier,4328,1042,3135
AR,5135,Sharp,7282,2092,4920
AR,5137,Stone,5351,1356,3773
AR,5139,Union,17160,6182,10696
AR,5141,Van Buren,6421,1826,4362
AR,5143,Washington,70231,28136,39570
AR,5145,White,26508,5765,20005
AR,5147,Woodruff,2685,1340,1227
AR,5149,Yell,5971,1720,4041
AZ,0,Arizona,2041519,900081,1107130
AZ,4001,Apache,25465,16833,8198
AZ,4003,Cochise,43776,16223,26742
AZ,4005,Coconino,46746,26316,19368
AZ,4007,Gila,18477,6650,11525
AZ,4009,Graham,11854,3608,8076
AZ,4011,Greenlee,2972,1310,1590
AZ,4012,La Paz,4922,1619,3205
AZ,4013,Maricopa,1187008,512008,654835
AZ,4015,Mohave,65949,18324,46442
AZ,4017,Navajo,35775,16157,19155
AZ,4019,Pima,351817,183470,162927
AZ,4021,Pinal,102139,41428,58947
AZ,4023,Santa Cruz,13894,9486,4235
AZ,4025,Yavapai,96790,32624,62385
AZ,4027,Yuma,33935,14025,19500
CA,0,California,10538656,6241648,4046524
CA,6001,Alameda,558386,438091,104330
CA,6003,Alpine,647,389,236
CA,6005,Amador,15303,6001,8903
CA,6007,Butte,70163,32567,35312
CA,6009,Calaveras,18469,7404,10537
CA,6011,Colusa,5865,2248,3521
CA,6013,Contra Costa,351257,230826,112547
CA,6015,Del Norte,7940,3396,4256
CA,6017,El Dorado,85923,34033,49661
CA,6019,Fresno,180244,85862,91143
CA,6021,Glenn,9142,3276,5608
CA,6023,Humboldt,46269,27757,15653
CA,6025,Imperial,27453,17464,9545
CA,6027,Inyo,6501,2775,3541
CA,6029,Kern,168116,64690,99840
CA,6031,Kings,30139,12282,17184
CA,6033,Lake,16274,9159,6474
CA,6035,Lassen,10603,3044,7261
CA,6037,Los Angeles,2427869,1672164,699600
CA,6039,Madera,32372,12698,18990
CA,6041,Marin,99286,73450,23347
CA,6043,Mariposa,7805,3080,4434
CA,6045,Mendocino,17928,11869,5129
CA,6047,Merced,50538,26128,23403
CA,6049,Modoc,3986,1113,2779
CA,6051,Mono,4917,2574,2202
CA,6053,Monterey,78522,51712,25087
CA,6055,Napa,32332,19964,11647
CA,6057,Nevada,30864,14261,15696
CA,6059,Orange,1021315,457077,541592
CA,6061,Placer,126325,49126,74460
CA,6063,Plumas,9128,3670,5240
CA,6065,Riverside,589721,287754,290227
CA,6067,Sacramento,388090,221063,157688
CA,6069,San Benito,14972,8617,6052
CA,6071,San Bernardino,531692,274203,245468
CA,6073,San Diego,928256,478386,431046
CA,6075,San Francisco,321023,267857,42654
CA,6077,San Joaquin,149587,80005,66742
CA,6079,San Luis Obispo,117597,57655,56500
CA,6081,San Mateo,211814,151036,56244
CA,6083,Santa Barbara,147249,84279,59096
CA,6085,Santa Clara,491687,343239,136347
CA,6087,Santa Cruz,81294,61106,17132
CA,6089,Shasta,54121,18184,34561
CA,6091,Sierra,1779,652,1056
CA,6093,Siskiyou,17505,7110,9844
CA,6095,Solano,138565,87225,48364
CA,6097,Sonoma,175738,124504,45666
CA,6099,Stanislaus,143620,70609,69549
CA,6101,Sutter,20988,8004,12576
CA,6103,Tehama,17356,6032,10791
CA,6105,Trinity,5030,2367,2422
CA,6107,Tulare,72832,29191,42186
CA,6109,Tuolumne,23730,9628,13410
CA,6111,Ventura,267907,138119,123919
CA,6113,Yolo,59613,38856,19080
CA,6115,Yuba,15009,5817,8746
CO,0,Colorado,2419698,5807,1238490
CO,8001,Adams,161495,523,90843
CO,8003,Alamosa,6671,31,3782
CO,8005,Arapahoe,254746,560,135433
CO,8007,Archuleta,6646,23,2637
CO,8009,Baca,2096,19,462
CO,8011,Bent,1881,8,778
CO,8013,Boulder,173207,252,120485
CO,8014,Broomfield,32191,76,16653
CO,8015,Chaffee,10217,33,4967
CO,8017,Cheyenne,1045,6,162
CO,8019,Clear Creek,5610,13,3041
CO,8021,Conejos,4027,11,2180
CO,8023,Costilla,1804,14,1317
CO,8025,Crowley,1502,8,535
CO,8027,Custer,2697,9,862
CO,8029,Delta,15681,58,4542
CO,8031,Denver,285564,387,209759
CO,8033,Dolores,1218,6,329
CO,8035,Douglas,150160,200,54093
CO,8037,Eagle,22374,23,12598
CO,8039,Elbert,13993,43,3542
CO,8041,El Paso,275604,764,104989
CO,8043,Fremont,20258,88,6644
CO,8045,Garfield,23695,53,10989
CO,8047,Gilpin,3271,8,1854
CO,8049,Grand,7961,23,3575
CO,8051,Gunnison,7912,21,4563
CO,8053,Hinsdale,598,4,228
CO,8055,Huerfano,3623,12,1897
CO,8057,Jackson,848,5,216
CO,8059,Jefferson,300151,598,153069
CO,8061,Kiowa,821,3,118
CO,8063,Kit Carson,3525,12,789
CO,8065,Lake,2993,16,1807
CO,8067,La Plata,28475,55,15063
CO,8069,Larimer,161823,409,83103
CO,8071,Las Animas,6532,15,3282
CO,8073,Lincoln,2248,9,537
CO,8075,Logan,9030,45,2675
CO,8077,Mesa,69033,185,22448
CO,8079,Mineral,650,1,291
CO,8081,Moffat,6042,25,1291
CO,8083,Montezuma,12232,33,4486
CO,8085,Montrose,19054,73,5852
CO,8087,Morgan,10478,51,3761
CO,8089,Otero,8039,36,3566
CO,8091,Ouray,3183,10,1640
CO,8093,Park,9054,48,3721
CO,8095,Phillips,2265,4,588
CO,8097,Pitkin,9779,7,6648
CO,8099,Prowers,4809,13,1498
CO,8101,Pueblo,73306,233,40624
CO,8103,Rio Blanco,3311,15,561
CO,8105,Rio Grande,5453,25,2428
CO,8107,Routt,13038,18,7389
CO,8109,Saguache,2796,10,1762
CO,8111,San Juan,506,3,266
CO,8113,San Miguel,4215,12,2961
CO,8115,Sedgwick,1337,5,419
CO,8117,Summit,15038,21,9169
CO,8119,Teller,12144,40,3894
CO,8121,Washington,2567,9,461
CO,8123,Weld,112695,469,47418
CO,8125,Yuma,4481,18,950
CT,0,Connecticut,1562187,631432,912531
CT,9013,Andover,1647,724,904
CT,9009,Ansonia,6967,2596,4273
CT,9015,Ashford,2173,803,1331
CT,9003,Avon,11947,5537,6305
CT,9005,Barkhamsted,2105,1033,1033
CT,9009,Beacon Falls,2959,1598,1300
CT,9003,Berlin,10984,5361,5499
CT,9009,Bethany,3190,1536,1615
CT,9001,Bethel,9333,4445,4777
CT,9005,Bethlehem,2182,1272,894
CT,9003,Bloomfield,11891,1925,9917
CT,9013,Bolton,2911,1434,1433
CT,9011,Bozrah,1288,606,648
CT,9009,Branford,14262,5817,8301
CT,9001,Bridgeport,37476,5168,32135
CT,9005,Bridgewater,1186,641,529
CT,9003,Bristol,24088,10548,13283
CT,9001,Brookfield,8965,4941,3916
CT,9015,Brooklyn,3381,1570,1743
CT,9003,Burlington,5098,2683,2357
CT,9005,Canaan,606,210,384
CT,9015,Canterbury,2543,1294,1197
CT,9003,Canton,5791,2742,2967
CT,9015,Chaplin,1074,466,584
CT,9009,Cheshire,14812,7271,7355
CT,9007,Chester,2109,707,1380
CT,9007,Clinton,6592,2926,3607
CT,9011,Colchester,7847,3579,4125
CT,9005,Colebrook,856,462,380
CT,9013,Columbia,3074,1316,1714
CT,9005,Cornwall,883,250,629
CT,9013,Coventry,6285,2621,3538
CT,9007,Cromwell,7348,3193,4063
CT,9001,Danbury,26161,10590,15290
CT,9001,Darien,9468,6220,3182
CT,9007,Deep River,2433,932,1479
CT,9009,Derby,4685,2032,2597
CT,9007,Durham,4026,1985,2013
CT,9015,Eastford,1007,465,464
