zipcode,mean_household_income
99660,59723
99685,91538
99502,129840
99557,56973
99680,49549
99637,49549
99607,56973
99656,56973
99613,55699
99760,78511
99704,78511
99576,51042
99569,51042
99703,55900
99832,54330
99572,85571
99669,75442
99682,42537
99644,65712
99676,45488
99694,64232
99739,46477
99783,46477
99752,55253
99830,73267
99840,93822
99563,47397
99604,47397
99689,79072
99722,35141
99768,41621
99767,54749
99740,35141
99507,61260
99567,108951
99540,97126
99513,53862
99668,56973
99679,49549
99575,56973
99555,51042
99702,67059
99611,74350
99663,52115
99643,65712
99550,65712
99548,55699
99789,71894
99761,55253
99736,55253
99925,63808
99922,55501
99732,53209
99566,59017
99730,35141
99665,51361
99553,65923
99661,65923
99546,59723
99681,49549
99552,49549
99655,49549
99712,82474
99825,54330
99829,54330
99841,54330
99568,78349
99603,52115
99549,55699
99688,69417
99652,58575
99659,46477
99723,88714
99759,71894
99750,55253
99926,51660
99927,55501
99764,53209
99776,53209
99573,59017
99586,59017
99585,47397
99658,47397
99650,47397
99581,47397
99781,35141
99720,41621
99765,41621
99692,91538
99547,59723
99517,62348
99559,49549
99614,49549
99744,78511
99729,41606
99705,89588
99827,64843
99801,83197
99610,75442
99647,55699
99648,55699
99653,55699
99649,55699
99695,55699
99654,58575
99684,46477
99762,46477
99784,46477
99742,46477
99747,71894
99770,55253
99763,55253
99921,55501
99835,82879
99737,82945
99686,80663
99929,69596
99726,54749
99757,51361
99591,59723
99508,79115
99501,41179
99578,49549
99633,88476
99701,54749
99820,54330
99824,90879
99631,85571
99639,59106
99645,83538
99772,46477
99786,55253
99751,55253
99833,73267
99919,55501
99923,42895
99657,47397
99554,47397
99741,41621
99627,51361
99756,54749
99724,35141
99571,65923
99612,65923
99638,59723
99577,137128
99506,63320
99504,67749
99587,97126
99621,49549
99634,49549
99622,49549
99561,49549
99628,51042
99580,51042
99605,85571
99615,65712
99625,55699
99565,55699
99693,80663
99778,46477
99721,71894
99766,71894
99773,55253
99836,73267
99918,55501
99738,53209
99574,79527
99666,47397
99903,69596
99777,54749
99691,51361
99745,41621
99754,41621
99583,65923
99516,162714
99626,56973
99609,49549
99551,49549
99636,51042
