GISJOIN,YEAR,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,RES_ONLYA,TRUSTA,AIANHHA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7V001,H7X001,H7X002,H7X003,H7X004,H7X005,H7X006,H7X007,H7X008
"G00601","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00601",,,,,"ZCTA5 00601",,18570,18570,17285,572,65,5,1,402,240
"G00602","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00602",,,,,"ZCTA5 00602",,41520,41520,35980,2210,129,22,0,2181,998
"G00603","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00603",,,,,"ZCTA5 00603",,54689,54689,45348,4141,140,85,4,3614,1357
"G00606","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00606",,,,,"ZCTA5 00606",,6615,6615,5883,314,27,3,8,280,100
"G00610","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00610",,,,,"ZCTA5 00610",,29016,29016,23796,2083,100,37,4,2175,821
"G00612","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00612",,,,,"ZCTA5 00612",,67010,67010,56488,4130,241,79,6,3964,2102
"G00616","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00616",,,,,"ZCTA5 00616",,11017,11017,9339,786,38,4,0,670,180
"G00617","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00617",,,,,"ZCTA5 00617",,24597,24597,19831,1885,81,30,0,2159,611
"G00622","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00622",,,,,"ZCTA5 00622",,7853,7853,6738,393,13,3,2,483,221
"G00623","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00623",,,,,"ZCTA5 00623",,43061,43061,36075,2365,130,35,7,3200,1249
"G00624","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00624",,,,,"ZCTA5 00624",,26241,26241,21462,2354,107,42,0,1826,450
"G00627","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00627",,,,,"ZCTA5 00627",,35159,35159,30900,1452,112,35,1,1826,833
"G00631","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00631",,,,,"ZCTA5 00631",,1852,1852,1724,41,4,0,5,40,38
"G00637","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00637",,,,,"ZCTA5 00637",,25287,25287,21566,1387,93,8,2,1587,644
"G00638","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00638",,,,,"ZCTA5 00638",,18941,18941,16920,797,22,5,0,810,387
"G00641","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00641",,,,,"ZCTA5 00641",,31191,31191,28929,793,68,24,9,934,434
"G00646","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00646",,,,,"ZCTA5 00646",,38199,38199,26576,5988,259,90,1,3813,1472
"G00647","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00647",,,,,"ZCTA5 00647",,6172,6172,5227,338,37,1,0,400,169
"G00650","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00650",,,,,"ZCTA5 00650",,14998,14998,13595,686,42,8,1,405,261
"G00652","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00652",,,,,"ZCTA5 00652",,4715,4715,3992,315,20,2,0,253,133
"G00653","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00653",,,,,"ZCTA5 00653",,13307,13307,10348,1167,64,6,1,1360,361
"G00656","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00656",,,,,"ZCTA5 00656",,21481,21481,17594,1790,94,12,1,1552,438
"G00659","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00659",,,,,"ZCTA5 00659",,41953,41953,36608,1855,89,43,0,2483,875
"G00660","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00660",,,,,"ZCTA5 00660",,17250,17250,14000,1438,70,16,0,1267,459
"G00662","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00662",,,,,"ZCTA5 00662",,43282,43282,35982,3369,146,57,5,2483,1240
"G00664","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00664",,,,,"ZCTA5 00664",,16784,16784,15223,576,64,12,1,598,310
"G00667","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00667",,,,,"ZCTA5 00667",,25968,25968,20941,1361,63,23,4,3116,460
"G00669","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00669",,,,,"ZCTA5 00669",,29744,29744,27078,906,74,22,3,1043,618
"G00670","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00670",,,,,"ZCTA5 00670",,9807,9807,8430,515,44,1,1,663,153
"G00674","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00674",,,,,"ZCTA5 00674",,44457,44457,36402,3861,222,44,2,2792,1134
"G00676","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00676",,,,,"ZCTA5 00676",,40316,40316,36071,1802,63,32,5,1492,851
"G00677","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00677",,,,,"ZCTA5 00677",,15272,15272,13092,813,82,27,5,854,399
"G00678","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00678",,,,,"ZCTA5 00678",,27819,27819,24788,1006,37,43,1,1312,632
"G00680","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00680",,,,,"ZCTA5 00680",,58140,58140,45972,4681,512,80,9,4677,2209
"G00682","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00682",,,,,"ZCTA5 00682",,32615,32615,25550,2730,167,110,2,3119,937
"G00683","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00683",,,,,"ZCTA5 00683",,33772,33772,28118,1917,129,40,4,2847,717
"G00685","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00685",,,,,"ZCTA5 00685",,42831,42831,37907,1281,129,31,0,2460,1023
"G00687","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00687",,,,,"ZCTA5 00687",,32610,32610,28828,1689,75,26,5,1127,860
"G00688","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00688",,,,,"ZCTA5 00688",,13543,13543,11556,639,45,18,0,966,319
"G00690","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00690",,,,,"ZCTA5 00690",,6255,6255,5238,374,14,14,0,511,104
"G00692","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00692",,,,,"ZCTA5 00692",,37511,37511,26650,5620,269,68,6,3745,1153
"G00693","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00693",,,,,"ZCTA5 00693",,61038,61038,47096,6959,283,73,6,5104,1517
"G00694","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00694",,,,,"ZCTA5 00694",,328,328,184,129,0,0,0,9,6
"G00698","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00698",,,,,"ZCTA5 00698",,41782,41782,34681,2484,143,35,5,3310,1124
"G00703","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00703",,,,,"ZCTA5 00703",,28605,28605,20797,3554,181,20,5,2776,1272
"G00704","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00704",,,,,"ZCTA5 00704",,8577,8577,5593,1599,42,9,0,1088,246
"G00705","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00705",,,,,"ZCTA5 00705",,25598,25598,21338,1864,52,9,5,1795,535
"G00707","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00707",,,,,"ZCTA5 00707",,12225,12225,5851,3720,99,18,4,1988,545
"G00714","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00714",,,,,"ZCTA5 00714",,19566,19566,10462,6353,170,31,5,1859,686
