GISJOIN,YEAR,REGIONA,DIVISIONA,STATEA,COUNTYA,CTY_SUBA,PLACEA,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,RES_ONLYA,TRUSTA,AIANHHA,TRBL_SUBA,ANRCA,MSA_CMSAA,PMSAA,NECMAA,URB_AREAA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,FL5001,FL9001,FL9002,FL9003,FL9004,FL9005,FL9006
"G00601","2000",,,,,,,,,,,,,,,,,,,,,,,,"006","00601","00601 5-Digit ZCTA",19143,18215,230,31,2,0,378
"G00602","2000",,,,,,,,,,,,,,,,,,,,,,,,"006","00602","00602 5-Digit ZCTA",42042,37280,1508,67,35,9,1978
"G00603","2000",,,,,,,,,,,,,,,,,,,,,,,,"006","00603","00603 5-Digit ZCTA",55530,46152,2814,118,115,14,4754
"G00604","2000",,,,,,,,,,,,,,,,,,,,,,,,"006","00604","00604 5-Digit ZCTA",3923,3362,160,4,30,0,256
"G00606","2000",,,,,,,,,,,,,,,,,,,,,,,,"006","00606","00606 5-Digit ZCTA",6449,5824,194,10,1,0,204
"G00610","2000",,,,,,,,,,,,,,,,,,,,,,,,"006","00610","00610 5-Digit ZCTA",27975,23815,1199,88,32,3,1577
"G00612","2000",,,,,,,,,,,,,,,,,,,,,,,,"006","00612","00612 5-Digit ZCTA",72730,64451,3135,221,102,16,2615
"G00616","2000",,,,,,,,,,,,,,,,,,,,,,,,"006","00616","00616 5-Digit ZCTA",10532,9268,485,21,13,0,477
"G00617","2000",,,,,,,,,,,,,,,,,,,,,,,,"006","00617","00617 5-Digit ZCTA",23370,19039,1288,52,22,3,2361
"G00622","2000",,,,,,,,,,,,,,,,,,,,,,,,"006","00622","00622 5-Digit ZCTA",8104,7240,164,14,6,3,386
"G00623","2000",,,,,,,,,,,,,,,,,,,,,,,,"006","00623","00623 5-Digit ZCTA",38807,34332,1217,102,23,11,1822
"G00624","2000",,,,,,,,,,,,,,,,,,,,,,,,"006","00624","00624 5-Digit ZCTA",26719,22244,1206,83,16,1,2523
"G00627","2000",,,,,,,,,,,,,,,,,,,,,,,,"006","00627","00627 5-Digit ZCTA",35244,32315,797,45,75,16,1294
"G00631","2000",,,,,,,,,,,,,,,,,,,,,,,,"006","00631","00631 5-Digit ZCTA",2188,2110,30,0,2,0,20
"G00637","2000",,,,,,,,,,,,,,,,,,,,,,,,"006","00637","00637 5-Digit ZCTA",25935,22983,763,82,12,3,1395
"G00638","2000",,,,,,,,,,,,,,,,,,,,,,,,"006","00638","00638 5-Digit ZCTA",19634,18121,607,33,18,5,536
"G00641","2000",,,,,,,,,,,,,,,,,,,,,,,,"006","00641","00641 5-Digit ZCTA",35015,33145,410,50,35,6,858
"G00646","2000",,,,,,,,,,,,,,,,,,,,,,,,"006","00646","00646 5-Digit ZCTA",34099,25282,4147,157,60,7,3220
"G00647","2000",,,,,,,,,,,,,,,,,,,,,,,,"006","00647","00647 5-Digit ZCTA",5362,4759,134,5,10,0,245
"G00650","2000",,,,,,,,,,,,,,,,,,,,,,,,"006","00650","00650 5-Digit ZCTA",12120,11169,303,43,31,0,323
"G00652","2000",,,,,,,,,,,,,,,,,,,,,,,,"006","00652","00652 5-Digit ZCTA",2987,2632,57,35,0,0,198
