ZCTA2000,population2000,white2000,black2000,ZCTA2010,population2010,white2010,black2010
00601,19143,18215,230,00601,18570,17285,572
00602,42042,37280,1508,00602,41520,35980,2210
00603,55530,46152,2814,00603,54689,45348,4141
00604,3923,3362,160,00606,6615,5883,314
00606,6449,5824,194,00610,29016,23796,2083
00610,27975,23815,1199,00612,67010,56488,4130
00612,72730,64451,3135,00616,11017,9339,786
00616,10532,9268,485,00617,24597,19831,1885
00617,23370,19039,1288,00622,7853,6738,393
00622,8104,7240,164,00623,43061,36075,2365
00623,38807,34332,1217,00624,26241,21462,2354
00624,26719,22244,1206,00627,35159,30900,1452
00627,35244,32315,797,00631,1852,1724,41
00631,2188,2110,30,00637,25287,21566,1387
00637,25935,22983,763,00638,18941,16920,797
00638,19634,18121,607,00641,31191,28929,793
00641,35015,33145,410,00646,38199,26576,5988
00646,34099,25282,4147,00647,6172,5227,338
00647,5362,4759,134,00650,14998,13595,686
00650,12120,11169,303,00652,4715,3992,315
00652,2987,2632,57,00653,13307,10348,1167
00653,16526,13684,773,00656,21481,17594,1790
00656,23072,18640,962,00659,41953,36608,1855
00659,38925,35268,1003,00660,17250,14000,1438
00660,16614,14283,811,00662,43282,35982,3369
00662,42339,37037,1971,00664,16784,15223,576
00664,17318,16055,356,00667,25968,20941,1361
00667,26673,23178,770,00669,29744,27078,906
00669,32227,30827,331,00670,9807,8430,515
00670,11179,10332,200,00674,44457,36402,3861
00674,45809,39068,2196,00676,40316,36071,1802
00676,39697,36183,1066,00677,15272,13092,813
00677,14767,13381,376,00678,27819,24788,1006
00678,27036,25401,428,00680,58140,45972,4681
00680,75356,63708,3868,00682,32615,25550,2730
00682,24900,19933,1697,00683,33772,28118,1917
00683,35126,30313,1334,00685,42831,37907,1281
00685,44723,41772,676,00687,32610,28828,1689
00687,29965,27917,894,00688,13543,11556,639
00688,13579,12439,368,00690,6255,5238,374
00690,5232,4570,228,00692,37511,26650,5620
00692,35057,30861,2211,00693,61038,47096,6959
