NAME,FL5001,FL9001,FL9002,NAME,H7X001,H7X002,H7X003
00601 5-Digit ZCTA,19143,18215,230,ZCTA5 00601,18570,17285,572
00602 5-Digit ZCTA,42042,37280,1508,ZCTA5 00602,41520,35980,2210
00603 5-Digit ZCTA,55530,46152,2814,ZCTA5 00603,54689,45348,4141
00604 5-Digit ZCTA,3923,3362,160,ZCTA5 00606,6615,5883,314
00606 5-Digit ZCTA,6449,5824,194,ZCTA5 00610,29016,23796,2083
00610 5-Digit ZCTA,27975,23815,1199,ZCTA5 00612,67010,56488,4130
00612 5-Digit ZCTA,72730,64451,3135,ZCTA5 00616,11017,9339,786
00616 5-Digit ZCTA,10532,9268,485,ZCTA5 00617,24597,19831,1885
00617 5-Digit ZCTA,23370,19039,1288,ZCTA5 00622,7853,6738,393
00622 5-Digit ZCTA,8104,7240,164,ZCTA5 00623,43061,36075,2365
00623 5-Digit ZCTA,38807,34332,1217,ZCTA5 00624,26241,21462,2354
00624 5-Digit ZCTA,26719,22244,1206,ZCTA5 00627,35159,30900,1452
00627 5-Digit ZCTA,35244,32315,797,ZCTA5 00631,1852,1724,41
00631 5-Digit ZCTA,2188,2110,30,ZCTA5 00637,25287,21566,1387
00637 5-Digit ZCTA,25935,22983,763,ZCTA5 00638,18941,16920,797
00638 5-Digit ZCTA,19634,18121,607,ZCTA5 00641,31191,28929,793
00641 5-Digit ZCTA,35015,33145,410,ZCTA5 00646,38199,26576,5988
00646 5-Digit ZCTA,34099,25282,4147,ZCTA5 00647,6172,5227,338
00647 5-Digit ZCTA,5362,4759,134,ZCTA5 00650,14998,13595,686
00650 5-Digit ZCTA,12120,11169,303,ZCTA5 00652,4715,3992,315
00652 5-Digit ZCTA,2987,2632,57,ZCTA5 00653,13307,10348,1167
00653 5-Digit ZCTA,16526,13684,773,ZCTA5 00656,21481,17594,1790
00656 5-Digit ZCTA,23072,18640,962,ZCTA5 00659,41953,36608,1855
00659 5-Digit ZCTA,38925,35268,1003,ZCTA5 00660,17250,14000,1438
00660 5-Digit ZCTA,16614,14283,811,ZCTA5 00662,43282,35982,3369
00662 5-Digit ZCTA,42339,37037,1971,ZCTA5 00664,16784,15223,576
00664 5-Digit ZCTA,17318,16055,356,ZCTA5 00667,25968,20941,1361
00667 5-Digit ZCTA,26673,23178,770,ZCTA5 00669,29744,27078,906
00669 5-Digit ZCTA,32227,30827,331,ZCTA5 00670,9807,8430,515
00670 5-Digit ZCTA,11179,10332,200,ZCTA5 00674,44457,36402,3861
00674 5-Digit ZCTA,45809,39068,2196,ZCTA5 00676,40316,36071,1802
