"county"	"state"	"region"	"population2000"	"black2000"	"white2000"	"medianincome2000"	"poverty2000"	"blue2000"	"red2000"	"population2008"	"black2008"	"white2008"	"medianincome2008"	"poverty2008"	"blue2008"	"red2008"	"population2010"	"black2010"	"white2010"	"medianincome2010"	"poverty2010"	"blue2010"	"red2010"	"blue2012"	"red2012"
"01001"	"alabama"	"east_south_central"	43671	0.17112	0.80651	42463	0.10719	0.28719	0.69694	54571	0.17671	0.78531	53081	0.09833	0.25773	0.73614	54571	0.17671	0.78531	53081	0.09833	0.25773	0.73614	0.265757664477812	0.726337362499477
"01003"	"alabama"	"east_south_central"	140415	0.10287	0.87146	41283	0.09867	0.24782	0.72365	182265	0.09385	0.85674	48637	0.09387	0.23812	0.75259	182265	0.09385	0.85674	48637	0.09387	0.23812	0.75259	0.215665741045795	0.773897491410552
"01005"	"alabama"	"east_south_central"	29038	0.46322	0.51267	26612	0.20136	0.53377	0.4519	27457	0.46892	0.48002	28802	0.23306	0.48985	0.50439	27457	0.46892	0.48002	28802	0.23306	0.48985	0.50439	0.512522907758094	0.483375512697443
"01007"	"alabama"	"east_south_central"	20826	0.22203	0.76664	31776	0.17099	0.38164	0.60175	22915	0.22025	0.7585	38294	0.16378	0.26596	0.72443	22915	0.22025	0.7585	38294	0.16378	0.26596	0.72443	0.262185675128113	0.730663806459302
"01009"	"alabama"	"east_south_central"	51024	0.01188	0.95077	36863	0.12137	0.27692	0.70478	57322	0.01328	0.92579	41520	0.13016	0.14514	0.84019	57322	0.01328	0.92579	41520	0.13016	0.14514	0.84019	0.12347789824854	0.864929107589658
"01011"	"alabama"	"east_south_central"	11714	0.73109	0.25252	21400	0.2433	0.69229	0.29221	10914	0.7024	0.2297	24206	0.28166	0.74072	0.25688	10914	0.7024	0.2297	24206	0.28166	0.74072	0.25688	0.763068822865739	0.235050770966529
"01013"	"alabama"	"east_south_central"	21399	0.40806	0.58377	25763	0.20295	0.46213	0.5289	20947	0.43419	0.54418	27794	0.21077	0.43135	0.56494	20947	0.43419	0.54418	27794	0.21077	0.43135	0.56494	0.460508277971106	0.535800906886007
"01015"	"alabama"	"east_south_central"	112249	0.18539	0.78876	32604	0.14754	0.40559	0.57329	118572	0.20563	0.74925	37340	0.16396	0.33171	0.65692	118572	0.20563	0.74925	37340	0.16396	0.33171	0.65692	0.335207612456747	0.654671280276817
"01017"	"alabama"	"east_south_central"	36583	0.38113	0.60878	30505	0.15193	0.47456	0.51014	34215	0.38746	0.58781	30621	0.18471	0.4546	0.53938	34215	0.38746	0.58781	30621	0.18471	0.4546	0.53938	0.470608432907568	0.521631644004944
"01019"	"alabama"	"east_south_central"	23988	0.05544	0.9283	31436	0.15466	0.44702	0.531	25989	0.04648	0.92658	38024	0.16407	0.23663	0.7489	25989	0.04648	0.92658	38024	0.16407	0.23663	0.7489	0.217805552709763	0.767749206023973
