"state","population2000","black2000","white2000","medianincome2000","poverty2000","blue2000","red2000","population2008","black2008","white2008","medianincome2008","poverty2008","blue2008","red2008","population2010","black2010","white2010","medianincome2010","poverty2010","blue2010","red2010"
"alabama",4447100,0.259928288866902,0.711207405718333,34685,0.143265923473724,0.415523733718603,0.565004802981718,4779736,0.261793675736484,0.685267084828534,39828,0.151027799884764,0.380449257590796,0.609956914459292,4779736,0.261793675736484,0.685267084828534,39828,0.151027799884764,0.380449257590796,0.609956914459292
"alaska",626932,0.0347504845023065,0.693114251800833,50879,0.0836466031563232,0,0,710231,0.0327543485992585,0.666790469016419,70442,0.0871160373315161,0,0,710231,0.0327543485992585,0.666790469016419,70442,0.0871160373315161,0,0
"arizona",5130632,0.0309668312987562,0.754997753029256,47024,0.126057404208682,0.446726114772995,0.511671661734851,6392017,0.0405189158304804,0.730145088578457,53284,0.14631138264651,0.449821060996865,0.537742875139412,6392017,0.0405189158304804,0.730145088578457,53284,0.14631138264651,0.449821060996865,0.537742875139412
"arkansas",2673400,0.156711198552405,0.799953084416847,32860,0.147736616335004,0.462449956347722,0.509716213200419,2915918,0.154288863428258,0.769990270662618,38796,0.164317779018477,0.385406498330886,0.590193195031548,2915918,0.154288863428258,0.769990270662618,38796,0.164317779018477,0.385406498330886,0.590193195031548
"california",33871648,0.0668378309080208,0.595485278955721,43558,0.127094178710761,0.536014976517234,0.416622137362197,37253956,0.0617129995880169,0.575883353787179,54375,0.128339349715772,0.604749785907032,0.375071435307434,37253956,0.0617129995880169,0.575883353787179,54375,0.128339349715772,0.604749785907032,0.375071435307434
"colorado",4301261,0.0383745035653498,0.827665195023041,48991,0.0894694260380851,0.429091053507332,0.50386586210416,5029196,0.0401134159833898,0.813093638319127,55621,0.107541100740556,0.534622263329964,0.449029279495172,5029196,0.0401134159833898,0.813093638319127,55621,0.107541100740556,0.534622263329964,0.449029279495172
"connecticut",3405565,0.0909817958018714,0.816415154431056,49461,0.0714796612573831,0.559616566878036,0.384089977492722,3574097,0.101368750243768,0.775695367719455,61962,0.0863074037078456,0.606347685037647,0.381831924458122,3574097,0.101368750243768,0.775695367719455,61962,0.0863074037078456,0.606347685037647,0.381831924458122
"delaware",783600,0.192275001429301,0.74626297468096,55205,0.085979770941807,0.548175382031649,0.420533661651353,897934,0.213615869807803,0.688936671047093,62051,0.097976806925676,0.615716056770319,0.373214014103486,897934,0.213615869807803,0.688936671047093,62051,0.097976806925676,0.615716056770319,0.373214014103486
"district of columbia",572059,0.60013,0.30784,40606,0.15983,0.85155,0.08952,601723,0.50709,0.38468,58906,0.15827,0.92457,0.06533,601723,0.50709,0.38468,58906,0.15827,0.92457,0.06533
"florida",15982378,0.146129573681714,0.779922370814906,39262,0.117465975186546,0.492361767931531,0.485317651285059,18801310,0.159556020388473,0.750435747511211,45624,0.12633280101227,0.516146381160674,0.476554854515989,18801310,0.159556020388473,0.750435747511211,45624,0.12633280101227,0.516146381160674,0.476554854515989
"georgia",8186453,0.28700283689896,0.650743772936826,44794,0.122926865419004,0.433420334964361,0.543754223180662,9687653,0.304556157229207,0.597404743547276,50092,0.143373522135857,0.462962885026951,0.528950504989186,9687653,0.304556157229207,0.597404743547276,50092,0.143373522135857,0.462962885026951,0.528950504989186
"hawaii",1211537,0.0181578621866274,0.242749281648022,50799,0.0976948017765863,0.556713060996074,0.37661959634745,1360301,0.015748345777883,0.24744536240141,67019,0.0857271728757091,0.716927661113239,0.267409775601135,1360301,0.015748345777883,0.24744536240141,67019,0.0857271728757091,0.716927661113239,0.267409775601135
"idaho",1293953,0.0042154150343946,0.909851255431998,37355,0.112093485976693,0.27384326314016,0.675177121479683,1567582,0.00625778257213977,0.8908546460855,44451,0.11866549703301,0.353137587749796,0.623113361789048,1567582,0.00625778257213977,0.8908546460855,44451,0.11866549703301,0.353137587749796,0.623113361789048
"illinois",12419293,0.151127110867744,0.734781535978739,45239,0.0988701299309067,0.555232337645951,0.416629764067085,12830632,0.145464884993194,0.715310528120517,52516,0.119188371077902,0.624169108545861,0.362945618075555,12830632,0.145464884993194,0.715310528120517,52516,0.119188371077902,0.624169108545861,0.362945618075555
"indiana",6080485,0.0838798748570221,0.8749338770131,41304,0.0870529551129556,0.41107762088715,0.565166515455593,6483802,0.0912104925443436,0.843317862815675,43716,0.123316763146068,0.499425381837693,0.489128134179606,6483802,0.0912104925443436,0.843317862815675,43716,0.123316763146068,0.499425381837693,0.489128134179606
"iowa",2926324,0.0211359916502752,0.93928131326538,40722,0.0812219279512453,0.484612924754743,0.48298406572888,3046355,0.029262459109329,0.913078404555608,48439,0.108673311153822,0.537812766686745,0.445383891230667,3046355,0.029262459109329,0.913078404555608,48439,0.108673311153822,0.537812766686745,0.445383891230667
"kansas",2688418,0.0573550661243899,0.860707437641765,41873,0.0874412425857884,0.377266318957841,0.575639929482692,2853118,0.05883458088309,0.838046183484174,47091,0.107883593563253,0.417198261884016,0.5653839072902,2853118,0.05883458088309,0.838046183484174,47091,0.107883593563253,0.417198261884016,0.5653839072902
"kentucky",4041769,0.0732332516380822,0.90081468925859,37385,0.136160439505573,0.410896044959521,0.568157805027947,4339367,0.0777801907835866,0.877902197124604,43031,0.165219192460559,0.40601089643259,0.579496812147947,4339367,0.0777801907835866,0.877902197124604,43031,0.165219192460559,0.40601089643259,0.579496812147947
"louisiana",4468976,0.324894445944664,0.639109159017636,32265,0.168551188290114,0.45046902353246,0.52386042937353,4533372,0.320378237775325,0.62562522277457,43534,0.16657452906137,0.396203939328165,0.588642310414852,4533372,0.320378237775325,0.62562522277457,43534,0.16657452906137,0.396203939328165,0.588642310414852
"maine",1274923,0.00530261934250147,0.969481347414707,37127,0.0978321017583023,0.491043443564827,0.439925582854808,1328361,0.0118233949506196,0.952279608765991,44668,0.12133116713002,0.575239993029003,0.405606349463738,1328361,0.0118233949506196,0.952279608765991,44668,0.12133116713002,0.575239993029003,0.405606349463738
"maryland",5296486,0.278941163905654,0.64029261780169,54176,0.0785445549105577,0.577577398006905,0.390224683050234,5773552,0.294496372189945,0.581840207172292,69545,0.0777322475522867,0.627290304793306,0.356872520266553,5773552,0.294496372189945,0.581840207172292,69545,0.0777322475522867,0.627290304793306,0.356872520266553
"massachusetts",6349097,0.0540962208547137,0.845363349000653,48944,0.0833846664730433,0.602295480199783,0.320920568480841,6547629,0.0663440009551549,0.804143234847301,62885,0.0965475782180084,0.621785626681047,0.35613532793932,6547629,0.0663440009551549,0.804143234847301,62885,0.0965475782180084,0.621785626681047,0.35613532793932
"michigan",9938444,0.142148286400769,0.801538762194565,42551,0.0957326535250387,0.518287510371845,0.456131208780771,9883640,0.141683538965401,0.789497199763447,43402,0.141925786444063,0.574715955105609,0.409149833258799,9883640,0.141683538965401,0.789497199763447,43402,0.141925786444063,0.574715955105609,0.409149833258799
"minnesota",4919479,0.0349087658794763,0.894460336755173,51062,0.0684205748474584,0.47768922357022,0.456353436229731,5303925,0.0517380265312952,0.852965769936415,61651,0.0923302758560877,0.538224576275117,0.440508913815712,5303925,0.0517380265312952,0.852965769936415,61651,0.0923302758560877,0.538224576275117,0.440508913815712
"mississippi",2844658,0.363420778873945,0.613816725722389,30531,0.172172578172842,0.408043001844158,0.574845714089356,2967297,0.370163194264005,0.591340832821925,36143,0.198995362587567,0.424866873521592,0.566823136497627,2967297,0.370163194264005,0.591340832821925,36143,0.198995362587567,0.424866873521592,0.566823136497627
"missouri",5595211,0.112486427137422,0.848598149880317,40655,0.103876567180398,0.47171478707416,0.503336385873562,5988927,0.115778012475357,0.827988576818519,45798,0.129394195751593,0.470440964875678,0.516232881639733,5988927,0.115778012475357,0.827988576818519,45798,0.129394195751593,0.470440964875678,0.516232881639733
"montana",902195,0.00298249534745814,0.905821869662324,34190,0.130432800547553,0.337261502757164,0.581918907021209,989415,0.00407025838500528,0.894429303962442,40444,0.134393057079183,0.472967650925042,0.49478221948323,989415,0.00407025838500528,0.894429303962442,40444,0.134393057079183,0.472967650925042,0.49478221948323
"nebraska",1711263,0.0400540679895492,0.895983728176207,42970,0.0869649814610612,0.334192296128649,0.620841555172992,1826341,0.0453842118804758,0.861196303434025,47915,0.102104946984161,0.417654926840059,0.563689554562921,1826341,0.0453842118804758,0.861196303434025,47915,0.102104946984161,0.417654926840059,0.563689554562921
"nevada",1998257,0.0677936436404326,0.751599711363453,43454,0.0974751311718162,0.468038607551481,0.487861771924232,2700551,0.0809551314231799,0.661599951202551,53512,0.106768407036194,0.555432146221271,0.422716190492237,2700551,0.0809551314231799,0.661599951202551,53512,0.106768407036194,0.555432146221271,0.422716190492237
"new hampshire",1235786,0.00731222528819715,0.960400596049802,55472,0.0565287944271905,0.468795389177414,0.480048466700545,1316470,0.0114219803793478,0.938909811526279,64455,0.0759152667740245,0.541376235311097,0.445111508481014,1316470,0.0114219803793478,0.938909811526279,64455,0.0759152667740245,0.541376235311097,0.445111508481014
"new jersey",8414350,0.135699759018819,0.725510793685787,54431,0.0769743865788801,0.570447702989536,0.39402945993927,8791894,0.137036826042261,0.685774314559525,69928,0.0841770480774677,0.581652645698413,0.408228313290629,8791894,0.137036826042261,0.685774314559525,69928,0.0841770480774677,0.581652645698413,0.408228313290629
"new mexico",1819046,0.0188806815440621,0.66752101773677,33791,0.16992534737989,0.4771359259414,0.481853155835531,2059179,0.0206623118874076,0.683707639831214,45550,0.160187851449534,0.557388297369971,0.429497472866613,2059179,0.0206623118874076,0.683707639831214,45550,0.160187851449534,0.557388297369971,0.429497472866613
"new york",18976457,0.158847134118345,0.679457738339143,39478,0.129987699173244,0.629352806713603,0.327075076913989,19378102,0.158622991957623,0.657492137690265,54395,0.133957445101177,0.647563344796616,0.342157887790559,19378102,0.158622991957623,0.657492137690265,54395,0.133957445101177,0.647563344796616,0.342157887790559
"north carolina",8049313,0.215861757600928,0.721136870674553,39467,0.116080697207327,0.432581485663435,0.559847208604014,9535483,0.214841909153422,0.684700438418274,43420,0.136530300197693,0.493003075936479,0.497872370842673,9535483,0.214841909153422,0.684700438418274,43420,0.136530300197693,0.493003075936479,0.497872370842673
"north dakota",642200,0.00609716603861725,0.923669476782934,38008,0.100915281563376,0.334504993880411,0.603143919090626,672591,0.0118357919746176,0.900173776410924,46985,0.105048028237071,0.450314055629647,0.528772166680791,672591,0.0118357919746176,0.900173776410924,46985,0.105048028237071,0.450314055629647,0.528772166680791
"ohio",11353140,0.114621278728176,0.849584535674712,41875,0.0958664336914721,0.464781718132605,0.499510195248187,11536504,0.122019855593168,0.826891241462752,46509,0.129095232340751,0.512297517496635,0.471681999185368,11536504,0.122019855593168,0.826891241462752,46509,0.129095232340751,0.512297517496635,0.471681999185368
"oklahoma",3450654,0.0756288131322352,0.761720427608795,36586,0.135359580557773,0.385893180066735,0.601515219761239,3751351,0.0740129217340633,0.721565129525336,41279,0.147743331573079,0.344415652227691,0.655584347772309,3751351,0.0740129217340633,0.721565129525336,41279,0.147743331573079,0.344415652227691,0.655584347772309
"oregon",3421399,0.0162681609978842,0.865619470225484,43153,0.105594514293714,0.469043672062218,0.466149145533742,3831074,0.0180637146424214,0.836479237365292,50604,0.130897150647573,0.563276861749473,0.408201152141671,3831074,0.0180637146424214,0.836479237365292,50604,0.130897150647573,0.563276861749473,0.408201152141671
"pennsylvania",12281054,0.0997153623231361,0.853688752066394,41269,0.0924950637241722,0.504772429596841,0.465689652508653,12702379,0.108459299224185,0.819239284400977,47312,0.114485234585584,0.542344363004757,0.447030219225076,12702379,0.108459299224185,0.819239284400977,47312,0.114485234585584,0.542344363004757,0.447030219225076
"rhode island",1048319,0.0447438839608936,0.850115634983245,36493,0.101474118631829,0.615909301710643,0.314473615397603,1052567,0.0571830857038079,0.814073079879951,47432,0.116072507602841,0.632541070221658,0.346719355575465,1052567,0.0571830857038079,0.814073079879951,47432,0.116072507602841,0.632541070221658,0.346719355575465
"south carolina",4012012,0.295416526560738,0.671872135387432,38616,0.125862139365485,0.410430717211215,0.567188888111501,4625364,0.279044174683333,0.661571105906476,43845,0.147042922937524,0.445906284523769,0.541730033990838,4625364,0.279044174683333,0.661571105906476,43845,0.147042922937524,0.445906284523769,0.541730033990838
"south dakota",754844,0.00620631480146891,0.886812350114726,37914,0.111653427025982,0.384825594493697,0.593893814708734,814180,0.0125371001129971,0.859013801395269,46733,0.120670725134491,0.454826108501805,0.52434823122651,814180,0.0125371001129971,0.859013801395269,46733,0.120670725134491,0.454826108501805,0.52434823122651
